r,t,y,TotalTechnologyAnnualActivity
RE1,DEMPWRSURWAT,2020,0.0
RE1,DEMPWRSURWAT,2021,0.0
RE1,DEMPWRSURWAT,2022,0.0
RE1,DEMPWRSURWAT,2023,0.0
RE1,DEMPWRSURWAT,2024,0.0
RE1,DEMPWRSURWAT,2025,0.0
RE1,DEMPWRSURWAT,2026,0.0
RE1,DEMPWRSURWAT,2027,0.0
RE1,DEMPWRSURWAT,2028,0.0
RE1,DEMPWRSURWAT,2029,0.0
RE1,DEMPWRSURWAT,2030,0.0
RE1,DEMPWRSURWAT,2031,0.0
RE1,DEMPWRSURWAT,2032,0.0
RE1,DEMPWRSURWAT,2033,0.0
RE1,DEMPWRSURWAT,2034,0.0
RE1,DEMPWRSURWAT,2035,0.0
RE1,LNDBLT,2020,10.0
RE1,LNDBLT,2021,10.3
RE1,LNDBLT,2022,10.6
RE1,LNDBLT,2023,10.9
RE1,LNDBLT,2024,11.3
RE1,LNDBLT,2025,11.6
RE1,LNDBLT,2026,11.9
RE1,LNDBLT,2027,12.3
RE1,LNDBLT,2028,12.7
RE1,LNDBLT,2029,13.0
RE1,LNDBLT,2030,13.4
RE1,LNDBLT,2031,13.8
RE1,LNDBLT,2032,14.3
RE1,LNDBLT,2033,14.7
RE1,LNDBLT,2034,15.1
RE1,LNDBLT,2035,15.6
RE1,LNDFOR,2020,175.0
RE1,LNDFOR,2021,172.65
RE1,LNDFOR,2022,170.4
RE1,LNDFOR,2023,167.925
RE1,LNDFOR,2024,165.35
RE1,LNDFOR,2025,157.875
RE1,LNDFOR,2026,155.3
RE1,LNDFOR,2027,152.625
RE1,LNDFOR,2028,149.825
RE1,LNDFOR,2029,147.0
RE1,LNDFOR,2030,144.2
RE1,LNDFOR,2031,141.175
RE1,LNDFOR,2032,138.15
RE1,LNDFOR,2033,135.025
RE1,LNDFOR,2034,131.875
RE1,LNDFOR,2035,128.625
RE1,LNDMAIHI,2020,0.0
RE1,LNDMAIHI,2021,0.0
RE1,LNDMAIHI,2022,0.0
RE1,LNDMAIHI,2023,0.0
RE1,LNDMAIHI,2024,0.0
RE1,LNDMAIHI,2025,0.0
RE1,LNDMAIHI,2026,0.0
RE1,LNDMAIHI,2027,0.0
RE1,LNDMAIHI,2028,0.0
RE1,LNDMAIHI,2029,0.0
RE1,LNDMAIHI,2030,0.0
RE1,LNDMAIHI,2031,0.0
RE1,LNDMAIHI,2032,0.0
RE1,LNDMAIHI,2033,0.0
RE1,LNDMAIHI,2034,0.0
RE1,LNDMAIHI,2035,0.0
RE1,LNDMAIHR,2020,50.0
RE1,LNDMAIHR,2021,51.25
RE1,LNDMAIHR,2022,52.5
RE1,LNDMAIHR,2023,53.875
RE1,LNDMAIHR,2024,55.25
RE1,LNDMAIHR,2025,56.625
RE1,LNDMAIHR,2026,58.0
RE1,LNDMAIHR,2027,59.375
RE1,LNDMAIHR,2028,60.875
RE1,LNDMAIHR,2029,62.5
RE1,LNDMAIHR,2030,64.0
RE1,LNDMAIHR,2031,65.625
RE1,LNDMAIHR,2032,67.25
RE1,LNDMAIHR,2033,68.875
RE1,LNDMAIHR,2034,70.625
RE1,LNDMAIHR,2035,72.375
RE1,LNDRICHI,2020,0.0
RE1,LNDRICHI,2021,0.0
RE1,LNDRICHI,2022,0.0
RE1,LNDRICHI,2023,0.0
RE1,LNDRICHI,2024,0.0
RE1,LNDRICHI,2025,0.0
